date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:18:12	720/720	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Dec%202024%2006:18:13%20GMT	https://gold888rtp.pics/robots.txt		(from )
14:18:12	599284/599284	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Dec%202024%2006:18:13%20GMT	https://gold888rtp.pics/	C:/My%20Web%20Sites/CopyGold888RTP/gold888rtp.pics/index.html	(from )
14:18:13	4944/4944	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Jul%202023%2015:54:42%20GMT	https://gold888rtp.pics/images/icons/pp.png	C:/My%20Web%20Sites/CopyGold888RTP/gold888rtp.pics/images/icons/pp.png	(from https://gold888rtp.pics/)
14:18:13	194907/194907	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Jul%202023%2015:54:42%20GMT	https://gold888rtp.pics/css/bootstrap.min.css	C:/My%20Web%20Sites/CopyGold888RTP/gold888rtp.pics/css/bootstrap.min.css	(from https://gold888rtp.pics/)
14:18:14	1780/1780	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Jul%202023%2000:50:06%20GMT	https://gold888rtp.pics/css/responsive.css	C:/My%20Web%20Sites/CopyGold888RTP/gold888rtp.pics/css/responsive.css	(from https://gold888rtp.pics/)
14:18:14	29698/29698	---MCZ	200	added ('OK')	text/css	etag:W/%2254b4be1e9036484dfb07f7df6e7408e3%22	https://cdn.lineicons.com/4.0/lineicons.css	C:/My%20Web%20Sites/CopyGold888RTP/cdn.lineicons.com/4.0/lineicons.css	(from https://gold888rtp.pics/)
14:18:14	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%225f5628a2-11846%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	C:/My%20Web%20Sites/CopyGold888RTP/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://gold888rtp.pics/)
14:18:15	18065/18065	---M-Z	200	added ('OK')	text/css	etag:W/%224691-p8Uo3JAYru/tmlIzcWjeyyIOL2E%22	https://cdn.jsdelivr.net/npm/swiper@9/swiper-bundle.min.css	C:/My%20Web%20Sites/CopyGold888RTP/cdn.jsdelivr.net/npm/swiper@9/swiper-bundle.min.css	(from https://gold888rtp.pics/)
14:18:15	7570/7570	---MCZ	200	added ('OK')	text/css	date:Tue,%2005%20Dec%202023%2006:16:39%20GMT	https://gold888rtp.pics/css/rtp-dark.css	C:/My%20Web%20Sites/CopyGold888RTP/gold888rtp.pics/css/rtp-dark.css	(from https://gold888rtp.pics/)
14:18:17	475359/475359	---M--	200	added ('OK')	image/webp	date:Sun,%2003%20Dec%202023%2004:28:34%20GMT	https://gold888rtp.pics/images/logo.webp	C:/My%20Web%20Sites/CopyGold888RTP/gold888rtp.pics/images/logo.webp	(from https://gold888rtp.pics/)
